1|Allison Weiss & The Way She Likes It|FRIDAY|5:00pm-5:40pm|Pulaski Street stage||||5:00pm|5:40pm
2|The Gold Party|FRIDAY|6:00pm-6:40pm|Pulaski Street stage||||6:00pm|6:40pm
3|Reptar|FRIDAY|7:00pm-7:40pm|Pulaski Street stage||||7:00pm|7:40pm
4|Spring Tigers|FRIDAY|8:00pm-8:40pm|Pulaski Street stage||||8:00pm|8:40pm
5|Modern Skirts|FRIDAY|9:00pm-10:00pm|Pulaski Street stage||||9:00pm|10:00pm
6|Boo Ray & The Bad Beat Kings|FRIDAY|5:20pm-6:00pm|Lumpkin St. stage||||5:20pm|6:00pm
7|Ken Will Morton Band|FRIDAY|6:20pm-7:00pm|Lumpkin St. stage||||6:20pm|7:00pm
8|Stewart & Winfield Band|FRIDAY|7:20pm-8:00pm|Lumpkin St. stage||||7:20pm|8:00pm
9|David Dondero|FRIDAY|8:20pm-9:00pm|Lumpkin St. stage||||8:20pm|9:00pm
10|Packway Handle Band|FRIDAY|9:20pm-10:00pm|Lumpkin St. stage||||9:20pm|10:00pm
11|Swamp Funk Quartet|SATURDAY|12:00pm-12:40pm|Pulaski St. Stage||||12:00pm|12:40pm
12|Half Dozen Brass Band|SATURDAY|1:00pm-1:40pm|Pulaski St. Stage||||1:00pm|1:40pm
13|The Georgia Healers|SATURDAY|2:00pm-2:40pm|Pulaski St. Stage||||2:00pm|2:40pm
14|Casper & The Cookies|SATURDAY|3:00pm-3:40pm|Pulaski St. Stage||||3:00pm|3:40pm
15|Supercluster|SATURDAY|4:00pm-4:40pm|Pulaski St. Stage||||4:00pm|4:40pm
16|Futurebirds|SATURDAY|5:00pm-5:40pm|Pulaski St. Stage||||5:00pm|5:40pm
17|Incredible Sandwich|SATURDAY|6:00pm-6:40pm|Pulaski St. Stage||||6:00pm|6:40pm
18|The Heap|SATURDAY|7:00pm-7:40pm|Pulaski St. Stage||||7:00pm|7:40pm
19|Abandon The Earth Mission|SATURDAY|8:00pm-8:40pm|Pulaski St. Stage||||8:00pm|8:40pm
20|Perpetual Groove|SATURDAY|9:00pm-10:00pm|Pulaski St. Stage||||9:00pm|10:00pm
21|Kyshona Armstrong|SATURDAY|12:20pm-1:00pm|Lumpkin stage||||12:20pm|1:00pm
22|Josh Perkins' Experiment in Southern Hospitality|SATURDAY|1:20pm-2:00pm|Lumpkin stage||||1:20pm|2:00pm
23|The Vinyl Strangers|SATURDAY|2:20pm-3:00pm|Lumpkin stage||||2:20pm|3:00pm
24|The Orkids|SATURDAY|3:20pm-4:00pm|Lumpkin stage||||3:20pm|4:00pm
25|Timi Conley / Kite To The Moon|SATURDAY|4:20pm-5:00pm|Lumpkin stage||||4:20pm|5:00pm
26|Dictatortots|SATURDAY|5:20pm-6:00pm|Lumpkin stage||||5:20pm|6:00pm
27|Five Eight|SATURDAY|6:20pm-7:00pm|Lumpkin stage||||6:20pm|7:00pm
28|Hip Hop showcase featuring: Elite The Showstoppa|SATURDAY|7:20pm-8:00pm|Lumpkin stage||||7:20pm|8:00pm
29|Hip Hop showcase featuring: Dirt Reynolds|SATURDAY|7:20pm-8:00pm|Lumpkin stage||||7:20pm|8:00pm
30|Hip Hop showcase featuring: Dukes of DaVille|SATURDAY|7:20pm-8:00pm|Lumpkin stage||||7:20pm|8:00pm
31|Deaf Judges|SATURDAY|8:20pm-9:00pm|Lumpkin stage||||8:20pm|9:00pm
32|Valenine & West|SATURDAY|9:20pm-9:30pm|Lumpkin stage||||9:20pm|9:30pm
33|Bubba Sparxxx|SATURDAY|9:30pm-10:00pm|Lumpkin stage||||9:30pm|10:00pm
34|Kinky Waikiki|SUNDAY|12:00pm-12:40pm|Pulaski St. Stage||||12:00pm|12:40pm
35|Lullwater|SUNDAY|1:00pm-1:40pm|Pulaski St. Stage||||1:00pm|1:40pm
36|The Athens Band|SUNDAY|2:00pm-2:40pm|Pulaski St. Stage||||2:00pm|2:40pm
37|The Rattlers|SUNDAY|3:00pm-3:40pm|Pulaski St. Stage||||3:00pm|3:40pm
38|Michael Guthrie Band|SUNDAY|4:00pm-4:40pm|Pulaski St. Stage||||4:00pm|4:40pm
39|David Barbe & The Quick Hooks|SUNDAY|5:00pm-5:40pm|Pulaski St. Stage||||5:00pm|5:40pm
40|Holly Golightly & The Brokeoffs|SUNDAY|6:00pm-6:40pm|Pulaski St. Stage||||6:00pm|6:40pm
41|Cracker|SUNDAY|7:00pm-8:00pm|Pulaski St. Stage||||7:00pm|8:00pm
42|String Theory|SUNDAY|12:20pm-1:00pm|Lumpkin stage||||12:20pm|1:00pm
43|The Burning Angels|SUNDAY|1:20pm-2:00pm|Lumpkin stage||||1:20pm|2:00pm
44|Betsy Franck & The Bareknuckle Band|SUNDAY|2:20pm-3:00pm|Lumpkin stage||||2:20pm|3:00pm
45|Gabriel Kelley & The Reins|SUNDAY|3:20pm-4:00pm|Lumpkin stage||||3:20pm|4:00pm
46|Redneck Greece Delux|SUNDAY|4:20pm-5:00pm|Lumpkin stage||||4:20pm|5:00pm
47|Kaitlin Jones & The County Fair|SUNDAY|5:20pm-6:00pm|Lumpkin stage||||5:20pm|6:00pm
48|Clay Leverett & Friends|SUNDAY|6:20pm-7:00pm|Lumpkin stage||||6:20pm|7:00pm
49|Kinchafoonee Cowboys|SUNDAY|7:20pm-8:00pm|Lumpkin stage||||7:20pm|8:00pm
